Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Niger,23.33815765,24.68768311,22.56604767,24.43749619,24.89271736,25.72568893,22.42886543,28.69141388,30.08619118,31.21994209,34.85019302,34.34204865
Nigeria,75.58924866,83.10647583,91.06047821,100.817009,106.1196442,96.28328705,78.23602295,72.77430725,65.70272064,69.68148041,69.76184845,83.84061432
North America,7560.76013,7763.640722,8001.971828,8138.932141,8468.273667,8791.052761,9104.027874,9399.397409,9750.76703,10088.65177,11131.73329,11439.89894
North Macedonia,302,326,307,346,339,303,323,345,387,421,453,560
Northern Mariana Islands,,,,,,,,,,,,
Norway,7860,8900,8970,9241,9118,7566,7497,7816,8272,8007,7825,9163
Not classified,,,,,,,,,,,,
OECD members,4054.779071,4350.218357,4356.937316,4376.550817,4495.359289,4330.852835,4457.84877,4604.108158,4820.207574,4909.410378,5312.755462,5653.095123
Oman,558.3665772,540.3850708,562.9465942,590.3643799,725.4089966,765.7853394,713.3201904,703.9379883,639.3248901,728.2548218,855.2967529,852.6234131
Other small states,711.212391,750.9429731,734.0225227,779.8521633,815.2301663,758.8004254,795.7936334,858.6417779,921.9773497,932.4666563,982.6384991,1142.713953
Pacific island small states,148.3488847,163.1084396,173.3372006,179.1517854,187.6443216,181.4589095,187.9520735,193.4357757,219.6093833,227.4443243,223.0199455,236.261909
Pakistan,24.20984077,25.67299652,26.2887764,28.99807739,33.04523849,35.0121994,37.59899521,43.41279984,41.40914154,37.22461319,38.17708206,43.09069443
Palau,1153.060669,1161.530396,1377.391357,1520.320557,1675.826172,1809.500122,1977.638306,2036.630859,2072.97583,2102.074707,2058.661621,2045.297485
Panama,608.2467041,665.8464966,725.8637695,806.5855103,920.0765991,982.7939453,1057.406616,1127.688965,1228.073364,1340.137817,1358.090698,1415.244995
Papua New Guinea,39.60604477,52.84900284,70.75683594,77.2843399,89.70458221,45.50782776,54.36591339,55.63466263,59.45320129,60.31322479,56.30739212,61.41452789
Paraguay,257.0585632,336.1187439,367.1484985,390.2868652,439.344696,392.2241821,384.4470215,405.5336609,421.0862732,415.888794,410.887146,478.7082825
Peru,240.2576141,262.9674072,307.3185425,320.3164978,331.7809143,310.266449,311.4351807,333.1157532,363.4248352,366.5649109,388.4873047,412.2085571
Philippines,91,98,112,122,109,116,120,122,126,142,166,203
Poland,809,866,815,878,911,804,816,910,979,1014,1026,1159
Portugal,2259,2256,1980,2031,2060,1791,1875,1998,2216,2222,2346,2747
